player_id,season,gameweek,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,yellow_cards,red_cards,now_cost,form,status,chance_of_playing_next_round,own_goals,penalties_saved,penalties_missed,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,transfers_in,transfers_out,first_name,second_name,web_name,element_type,team_id,code,name,short_name,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,points_last_gw,points_last_3_gws
6,2024/25,4,0,0,0,0,0,0,0,0,0,60,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,5.333333333333333
6,2024/25,5,90,2,0,0,0,1,0,0,0,60,,,,0,0,0,0,15,22.0,3.0,4.0,2.9,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,2.3333333333333335
6,2024/25,6,45,1,0,0,0,0,0,0,0,60,,,,0,0,0,0,8,5.4,11.8,2.0,1.9,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,1.0
6,2024/25,7,90,6,0,0,1,0,0,0,0,60,,,,0,0,0,0,30,28.2,2.2,0.0,3.0,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,1.0
6,2024/25,8,90,6,0,0,1,0,0,0,0,60,,,,0,0,0,0,26,17.4,2.8,2.0,2.2,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,3.0
6,2024/25,9,45,1,0,0,0,0,0,0,0,60,,,,0,0,0,0,10,7.4,1.5,0.0,0.9,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,4.333333333333333
6,2024/25,10,90,6,0,0,1,0,0,0,0,60,,,,0,0,0,0,29,19.2,6.1,0.0,2.5,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,4.333333333333333
6,2024/25,11,90,1,0,0,0,2,0,0,0,60,,,,0,0,0,0,4,17.2,4.5,6.0,2.8,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,4.333333333333333
6,2024/25,12,90,2,0,0,0,1,0,0,0,60,,,,0,0,0,0,12,15.6,1.5,0.0,1.7,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,2.6666666666666665
6,2024/25,13,0,0,0,0,0,0,0,0,0,60,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,3.0
