player_id,season,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,now_cost,selected_by_percent,transfers_in,transfers_out,first_name,second_name,web_name,element_type,team_id,code,name,short_name,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,points_last_gw,points_last_3_gws
4,2025/26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
5,2025/26,4,90,0,0,1,0,0,0,0,0,0,0,1,32,28.0,1.3,9.0,3.8,9,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,4.666666666666667
5,2025/26,5,90,0,0,0,1,0,0,0,0,0,0,0,13,19.6,2.3,0.0,2.2,2,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,9.0,5.666666666666667
5,2025/26,6,90,1,0,0,1,0,0,0,0,0,0,3,34,76.8,2.5,33.0,11.2,13,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,4.333333333333333
5,2025/26,7,90,0,0,1,0,0,0,0,0,0,0,1,33,24.6,2.0,2.0,2.9,9,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,13.0,8.0
5,2025/26,8,90,0,1,1,0,0,0,0,0,0,0,3,33,33.4,11.6,15.0,6.0,12,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,9.0,8.0
5,2025/26,9,90,0,0,1,0,0,0,0,0,0,0,3,32,27.2,11.2,9.0,4.7,9,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,12.0,11.333333333333334
5,2025/26,10,90,0,1,1,0,0,0,0,1,0,0,2,39,36.0,11.3,4.0,5.1,12,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,9.0,10.0
5,2025/26,11,90,0,0,0,2,0,0,0,0,0,0,0,6,21.4,15.4,4.0,4.1,1,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,12.0,11.0
5,2025/26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,7.333333333333333
5,2025/26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,64,17.2,308605,2938,Gabriel,dos Santos Magalhães,Gabriel,2,1,226597,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,4.333333333333333
